ts_code,trade_date,close,pct_chg,score,volume_ratio,structure,ma10,ma20,macd_dif,macd_dea,rsi6,boll_mid,turnover,avg_turnover_5,atr_ratio,price_vs_ma20,tier,ma5,kdj_k,kdj_d,wr1,wr2,regime,entry_price,ret_1,ret_3,ret_5
159682.SZ,20241227.000000,0.959000,-0.208100,3,,,0.958300,0.967400,,,45.994274,,245443.478000,227438.310000,0.022121,-0.008683,C,0.958400,45.717300,34.171285,41.379309,57.142854,sideways,0.959000,0.001043,-0.065693,-0.086548
588030.SH,20241227.000000,0.934000,-0.954400,3,,,0.929200,0.937700,,,49.849329,,447749.708000,437522.968800,0.025849,-0.003946,C,0.932600,50.164891,43.127338,47.058823,57.142856,sideways,0.934000,-0.007495,-0.069593,-0.097430
588190.SH,20241227.000000,0.930000,-0.958500,3,,,0.925900,0.935350,,,49.400559,,313823.562000,272609.895400,0.025960,-0.005720,C,0.928200,47.706834,40.829169,49.019607,58.139534,sideways,0.930000,-0.008602,-0.069892,-0.098925
588220.SH,20241227.000000,0.936000,-0.847500,3,,,0.930800,0.939950,,,50.241287,,385420.718000,326984.760800,0.026023,-0.004202,C,0.933200,48.552243,41.332641,47.058823,55.813952,sideways,0.936000,-0.009615,-0.068376,-0.097222
588800.SH,20241227.000000,0.904000,-0.985800,3,,,0.899600,0.908100,,,49.756523,,315950.752000,357131.553000,0.026707,-0.004515,C,0.902400,47.766809,40.623148,48.979591,57.142856,sideways,0.904000,-0.006637,-0.070796,-0.098451
159682.SZ,20241230.000000,0.960000,0.104300,3,,,0.958900,0.966500,,,47.674479,,208223.909000,223762.317600,0.017411,-0.006725,C,0.959800,51.167854,39.836808,37.931033,52.380950,sideways,0.960000,-0.029167,-0.086458,-0.082292
159792.SZ,20241230.000000,0.706000,-0.282500,3,,,0.705300,0.707350,,,49.277486,,1303228.912000,739789.375000,0.019324,-0.001909,C,0.707200,57.131009,47.744939,34.615383,52.941173,sideways,0.706000,-0.015581,-0.022663,-0.049575
513650.SH,20241230.000000,1.606000,-0.986400,4,,,1.615000,1.615000,,,43.043525,,230721.256000,295129.426000,0.012142,-0.005573,B,1.619600,55.149545,54.060862,58.823529,67.647057,sideways,1.606000,-0.006849,-0.007472,0.008095
588030.SH,20241230.000000,0.927000,-0.749500,4,,,0.929500,0.936450,,,44.781507,,328090.311000,421414.195600,0.023732,-0.010091,B,0.933600,46.515156,44.256611,60.784313,71.052630,sideways,0.927000,-0.032362,-0.083064,-0.076591
588190.SH,20241230.000000,0.922000,-0.860200,5,,,0.925800,0.933900,,,43.632276,,181598.886000,251864.692200,0.023861,-0.012742,B,0.929000,43.569262,41.742533,64.705881,73.684209,sideways,0.922000,-0.029284,-0.081345,-0.071584
588220.SH,20241230.000000,0.927000,-0.961500,5,,,0.930900,0.938550,,,43.838317,,294583.533000,313751.692600,0.023964,-0.012306,B,0.934200,44.132867,42.266050,64.705881,73.684209,sideways,0.927000,-0.031284,-0.080906,-0.072276
588800.SH,20241230.000000,0.898000,-0.663700,5,,,0.899900,0.906900,,,45.159817,,313068.686000,341857.017400,0.024101,-0.009814,B,0.903400,44.769709,42.005335,61.224489,68.421051,sideways,0.898000,-0.033408,-0.084633,-0.075724
159338.SZ,20241231.000000,0.955000,-1.647800,3,,,0.964000,0.965150,,,34.662815,,4038110.703000,3502882.520200,0.012790,-0.010517,C,0.965800,52.471179,53.882968,77.777775,99.999995,sideways,0.955000,-0.030366,-0.047120,-0.039791
